Model,Accuracy,Precision,Recall,F1 (weighted),ROC-AUC,CV F1 (mean)
Logistic Regression,0.9349593495934959,0.934675839066083,0.9349593495934959,0.9343504163786578,0.9876522420747462,0.9652116668034022
Random Forest,0.926829268292683,0.9262203350778447,0.926829268292683,0.9264099810809429,0.9767471402911704,0.9691144909017728
Gradient Boosting,0.926829268292683,0.9262203350778447,0.926829268292683,0.9264099810809429,0.9672088690363647,0.9713532824933425
SVM,0.967479674796748,0.9686585365853658,0.967479674796748,0.9672946746117478,0.9969019821012163,0.9652860085879251
